Id | Name | Description | Properties 属性名 | 补充说明 | 缺失数据 | 缺失数据0515new | 安卓缺失数据0529 | ios缺失数据0606 | DI TABLE：统一在 hab_app_events
10 | register_type | 注册页选择登录方式 | { user_id :<int> type : <int> } | type 1： apple 2： google |  |  |  |  | 
11 | register_save | 注册页点continue保存信息 | { user_id :<int> type : <int> } | type 1： 编辑头像 2： 编辑姓名 status（是否编辑） 1：是 2：否 |  |  |  |  | 
首页 |  |  |  |  |  |  |  |  | 
12 | home_load | 首页刷新 | { user_id :<int> } |  | 安卓无数据 | 安卓: client_version, platform,device_id数据为空 |  |  | 
13 | home_navigation_click | 用户点击跳转至其他 Tab 的操作。 | { user_id :<int> type : <int> } | 0728：含义进行修改 type 1： Explore 改为 swipe (点击swipe) 2： Message 改为 点击inbox 3： Account 改为 点击me 4： Home 改为 点击play | 安卓无数据 ios和安卓都无type数据 | 安卓: client_version, platform,device_id数据为空 |  |  | 
14 | search_click | 右上角search按钮 | { user_id :<int> type : <int> } | type 1：Home 2：Explore 3：Message |  |  |  |  | 
15 | search_enter | search结果点击 | { user_id :<int> type : <int> } | type（点击的内容） 1： game 2： room 3： people 4：top |  |  |  |  | 
16 | game_viewall | Games的View all按钮点击 | { user_id :<int> } |  |  |  |  |  | 
17 | recommend_viewall | Recommended的view all按钮点击 | { user_id :<int> } |  |  |  |  |  | 
18 | game_room_label | Game rooms的标签点击 | { user_id :<int> } |  |  |  |  |  | 
19 | home_live | 首页底部开房间按钮的点击 | { user_id :<int> } |  | ios的 client_version, platform,device_id数据为空 安卓无数据 | ios: client_version, platform,device_id数据为空 |  |  | 
20 | home_live_choose | 开房间选游戏任意游戏的点击 | { user_id :<int> game_id: <int> status : <int> } | status （是否来自搜索） 1：是 2：否 |  |  |  |  | 
21 | home_live_start | start game按钮的点击 | { user_id :<int> } |  |  |  |  |  | 
explore |  |  |  |  |  |  |  |  | 
22 | explore_event | 用户访问event的行为 | { user_id :<int> type : <int> banner_name：< String > } | banner_name type 1： banner 2： popup 3： push notification | 安卓无数据 ios没有user_agent | 安卓无最新数据 |  |  | 
23 | e xplore_topgames_viewall | 记录用户点击查看全部热门游戏的行为。 | { user_id :<int> } |  | \ |  |  |  | 
24 | e xplore_hotgames_viewall | 记录用户点击查看全部热销游戏的行为。 | { user_id :<int> } |  |  |  |  |  | 
25 | e xplore_newgames_viewall | 记录用户点击查看全部新游戏的行为。 | { user_id :<int> } |  |  |  |  |  | 
message |  |  |  |  |  |  |  |  | 
26 | message_open | 记录用户打开消息页面或某个对话的操作。 | { user_id :<int> other_user_id :<int> } |  |  |  |  |  | 
27 | message_send | 记录用户发送消息的行为及内容概要。 | { user_id :<int> other_user_id :<int> content:<String> 0718: amount:<number> gender:<int> other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> 0722新加 room_type:<int> 0805 game_id: <int> } | content:发送内容 0718: amount: 消息的长度， message_length gender & other_gender 0: female 1:male 0722新加 room_type: 聊天房间id，chatroom_id |  |  |  |  | 
account |  |  |  |  |  |  |  |  | 
28 | edit_profile | account页面edit profile按钮点击 | { user_id :<int> } |  |  |  |  |  | 
29 | edit_profile_save | 编辑profile页面"save changes"点击 | { user_id :<int> name :<String> avatar :<String> signature :<String> gender :<String> birthday :<String> status :<int> } | name：被编辑过的内容(头像/姓名/签名/性别/生日) avatar：被编辑过的头像 signature：被编辑过的签名 gender：被编辑过的姓别 birthday：被编辑过的生日 status（是否编辑） 1：是 2：否 |  |  |  |  | 
30 | account_delete | 记录用户删除账号的行为及可能的原因。 | { user_id :<int> content :<String> } | content ： 删除原因（如果有） |  |  |  |  | 
31 | diamonds_about | 在treasure adjust表中记录用户D2C的数据 |  |  |  |  |  |  | 
32 | setting_noti | notification的开关 （H5） | { user_id :<int> type:<int> } | type： 1： 打开 （开 In-app） 2： 关闭（关In-app） 1031新增 3:进入notification页面 |  |  |  |  | 
profile |  |  |  |  |  |  |  |  | 
33 | profile_halfview | 用户查看半屏个人资料的行为 | { user_id :<int> other_user_id :<int> } |  |  |  |  |  | 
34 | profile_halfview_message_click | 记录用户在半屏个人资料中点击message的行为 | { user_id :<int> other_user_id :<int> } |  |  |  |  |  | 
35 | profile_fullview_click | 记录用户点击查看完整个人资料的行为。 | { user_id :<int> other_user_id :<int> } |  |  |  |  |  | 
topup |  |  |  |  |  |  |  |  | 
36 | topup_panel_enter | 记录用户进入充值面板的行为，区分是从什么地方进入 | { user_id :<int> type:<int> 0718: gender:<int> 1106 game_id:<int> } | type： 渠道 1：home page 2：explore page 3：account page ( 0728:在me页面点击topup ) ... 0718： 4: send_gift_panel 0919: 5:游戏内半屏弹窗 0718： gender: <int> 0: female 1: male 1106 game_id:<int> 如果是游戏内的半屏弹窗，需要补充game id | ios没有user_agent，安卓没有所有固定参数 | 安卓: client_version, platform,device_id数据为空 |  |  | 
37 | topup _package_select | 记录用户选择充值套餐的行为。 | { user_id :<int> amount:<float> 1106 game_id:<int> 1203新增： bind:<int> status:<int> number:<int> second_diff:<float> panel:<int> } | 1203修改 amount 金额 记录充值金额 usd为单位，可以为小数 1106 game_id:<int> 如果是游戏内的半屏弹窗，需要补充game id 1203新增 bind :<int> 充值代币类型 0-coin 1-energy status:<int> 点击获取energy的来源（top up页面） 1-点击现金充值 2-点击watch看广告获得 3-点击invite 邀请获得 number:<int> topup获得coins或者energy的总数 second_diff:<float> 记录rebate数量,可以为小数 panel:<int> 记录package的标准数量 | 安卓和ios无最新数据 | 安卓: client_version, platform,device_id数据为空 |  |  | 
38 | topup _success | 记录充值成功的交易。 | { user_id :<int> amount:<int> 1106 game_id:<int> 1113 type:<int> 1203新增： bind:<int> number:<int> second_diff:<float> panel:<int> } | 1203修改 amount 金额 记录充值金额 usd为单位，可以为小数 1106 game_id:<int> 如果是游戏内的半屏弹窗，需要补充game id 1113 新增 type<int> 1-从充值面板或者游戏内半屏充值面板进行充值 2-从无生命值的充值弹窗进行充值 1203新增 bind :<int> 充值代币类型 0-coin 1-energy number:<int> topup获得coins或者energy的总数 second_diff:<float> 记录rebate数量,可以为小数 panel:<int> 记录package的标准数量 | ios和安卓无最新数据 | 安卓无最新数据 |  |  | 
39 | topup _failure | 记录充值失败的情况及错误代码。 | { user_id :<int> content :<String> 1106 game_id:<int> 1113 type:<int> 1203新增： amount:<int> bind:<int> number:<int> second_diff:<float> panel:<int> } | content 错误代码 1106 game_id:<int> 如果是游戏内的半屏弹窗，需要补充game id 1113 新增 type<int> 1-从充值面板或者游戏内半屏充值面板进行充值 2-从无生命值的充值弹窗进行充值 1203新增 amount:<int> 记录充值金额 usd为单位，可以为小数 bind :<int> 充值代币类型 0-coin 1-energy number:<int> topup获得coins或者energy的总数 second_diff:<float> 记录rebate数量,可以为小数 panel:<int> 记录package的标准数量 | ios和安卓没有数据 | 安卓无最新数据 |  |  | 
房间 |  |  |  |  |  |  |  |  | 
40 | game_start | 记录房间内游戏开始的行为。 | { user_id :<int> game_id:<int> session_id :<int> type:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | 
41 | tool_click | tool bar点击展开 | { user_id :<int> game_id:<int> session_id:<int> type:<int> 0718 gender：<int> country：<string> 0826 number: <int> icon type } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 0718 gender 0: female 1:male 0826 number: <int> icon type 1: normal click(点击social box 2个绿头像) 2: friend click(点击好友头像跳去private feed panel) 3:spin wheel click(点击转轮icon跳去转轮页面) | 安卓缺所有固定参数 | 安卓： client_version, platform,device_id数据为空 ios: game_id为空 |  |  | 
42 | host_avatar | 点击房主头像 | { user_id :<int> game_id:<int> session_id:<int> type:<int> status:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 1219新增 3 pk房间 4 kix challenge候场页 status 0 点击用户头像 1 Add加好友 2 Chat 聊天 |  |  |  |  | 
43 | voice_click | 点击语音功能 0718： 定义更新为在social面板底部工具栏中点击麦克风按钮 | { user_id :<int> game_id:<int> session_id:<int> type:<int> 0718: gender:<int> country:<string> status:<int> number:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 0718: status : 0: registered user 1: non-registered user gender: <int> & other_gender: <int> 0: female 1: male number : 0: no ( mic_slot_full ) 1: yes ( mic_slot_full ) |  |  |  |  | 
44 | voice_join | 麦位点击 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | 
45 | voice_open | 开启麦克风 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | 
46 | voice_join_success | 上麦成功 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | 
47 | chat_click | 聊天功能点击 | { user_id :<int> game_id:<int> session_id:<int> type:<int> 0718: gender:<int> country:<string> panel:<int> other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 0718: panel: 1: friends_panel 2: profile_panel 0804 3: activity_panel 0826: activity_page gender & other_gender 0: female 1:male |  |  |  | ios无数据 | 
48 | chat_send | 发送聊天内容 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 1219新增 3 pk房间 4 kix challenge候场页 |  |  |  |  | 
49 | gift_click | 礼物功能点击 | { user_id :<int> game_id:<int> session_id:<int> type:<int> 0718: gender:<int> country:<string> panel:<int> other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> status:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 0718: panel: <int> 1: social_panel 0822 2: feeds_panel 2: private_feeds_panel status: 0: registered user 1: non-registered user gender: <int> & other_gender: <int> 0: female 1: male |  |  |  |  | 
50 | gift_type | 用户切换礼物类型 | { user_id :<int> type:<int> } | type：礼物类型 1：all gifts 2：games 3：exclusive |  |  |  |  | 
51 | gift_send | 记录用户在房间内发送礼物的行为。 | { user_id :<int> other_user_id :<int> game_id:<int> gift_id:<int> session_id:<int> amount:<int> number:<int> type:<int> } | amount 价值 number 数量 0523 other_user_id在官方房间是第三方游戏id，否则是用户id type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | 
52 | leaderboard_click | 排行榜功能点击 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | 
53 | leaderboard_type | 排行榜类型选择 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | type: 1：当前房间 2：全平台 |  |  |  |  | 
54 | other_click | 点击其他工具 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | 
55 | switch_click | 点击switch game | { user_id :<int> game_id:<int> session_id:<int> } |  |  |  |  |  | 
56 | switch_start | 点击switch game之后，选择了游戏，点击start game | { user_id :<int> game_id:<int> new_game_id:<int> session_id:<int> } | game_id 当前游戏id new_game_id 新的游戏id |  |  |  |  | 
57 | invite_click | 点击invite按钮 0718： 定义更新为在social面板底部工具栏中点击邀请好友 | { user_id :<int> game_id:<int> session_id:<int> type:<int> 0718： gender:<int> country:<string> status:<int> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 0718: status: <int> 0: registered user 1: non-registered user gender: <int> & other_gender: <int> 0: female 1: male |  |  |  | ios无数据 | 
58 | invite_friend | 在invite页面点击邀请 0718： 定义更新为在邀请好友面板，点击"invite"按钮 | { user_id :<int> game_id:<int> session_id:<int> other_user_id :<int> type:<int> 0718: gender:<int> country:<string> other_device_id:<string> other_gender:<int> other_country:<string> } | 0523 type 房间类型 0 官方房间 1 公共房间 2 私人房间 other_user_id被邀请的用户id 0718: gender: <int> & other_gender: <int> 0: female 1: male |  |  |  |  | 
59 | share_click | 点击share按钮 | { user_id :<int> game_id:<int> session_id:<int> } |  |  |  |  |  | 
60 | loading_start | 记录用户打开某个游戏开始加载 | { user_id :<int> game_id:<int> session_id:<int>, ip:<String> download_bandwidth:<number> bandwidth_utilization:<number> round_trip_time:<number> mtu_size:<number> packet_loss:<number> latency_ms:<number> network_type:<String> cdn_ip:<String> } | ip :玩家ip 地址 download_bandwidth： 下载带宽， bandwidth_utilization： 带宽利用率， round_trip_time： 往返延迟时间， 毫秒 mtu_size： MTU大小， 字节 packet_loss： 丢包率， latency_ms： 延时率， 毫秒 network_type： 网络情况4g/5g/wifi, cdn_ip： 解析CDN得到的ip地址 | 暂时没有数据 | 安卓： 红色部分数据都为空 ip,download_bandwidth,bandwidth_utilization,round_trip_time, mtu_size,packet_loss,latency_ms,network_type,cdn_ip都为空 ios: client_version, platform,device_id数据为空 p,download_bandwidth,bandwidth_utilization,round_trip_time, mtu_size,packet_loss,latency_ms,network_type,cdn_ip都为空 |  |  | hab_load_events
61 | loading_end | 记录用户打开某个游戏加载完成 | { user_id :<int> game_id:<int> session_id:<int> ip:<String> download_bandwidth:<number> bandwidth_utilization:<number> round_trip_time:<number> mtu_size:<number> packet_loss:<number> latency_ms:<number> network_type:<String> cdn_ip:<String> } | ip :玩家ip 地址 download_bandwidth： 下载带宽， bandwidth_utilization： 带宽利用率， round_trip_time： 往返延迟时间，毫秒 mtu_size： MTU大小，字节 packet_loss： 丢包率， latency_ms： 延时率，毫秒 network_type： 网络情况4g/5g/wifi, cdn_ip： 解析CDN得到的ip地址 | 暂时没有数据 | 安卓和ios： 红色部分数据都为空 p,download_bandwidth,bandwidth_utilization,round_trip_time, mtu_size,packet_loss,latency_ms,network_type,cdn_ip都为空 |  |  | hab_load_events
62 | new_user_ski (id=91有相同上报) | 新用户在新手流程选游戏环节点击skip跳过 | { user_id :<int> } |  |  |  |  |  | 
63 | loading_fail | 用户在加载游戏的过程中，出现网络问题导致无法加载 | { user_id :<int> game_id:<int> session_id:<int> ip :<String> content :<String> 报错原因 } | content :： 报错原因 | 暂时没有数据 | 暂时没有数据 |  |  | hab_load_events
0522版本 |  |  |  |  |  |  |  |  | 
64 | new_user_swipe_view | 用户进入到swipe的页面 | { user_id :<int> 0619 game_id:<int> 0811 second_diff<int> 0822 number <int> } | 0619 game_id:游戏id 0811 second _diff<int> 毫秒 0822 number:<int> 记录用户在被 Swipe 到时，该游戏在列表中的位置(第几位) |  |  |  |  | hab_app_events
65 | new_user_next | Next的点击 | { user_id :<int> content:<String> 点击next时所有选中的游戏标签 } | content："[gameId, gameId, gameId ]" |  |  | 安卓埋点无数据 |  | hab_app_events
66 | swipe_back | 在swipe模式中点左上角返回按钮，不局限与新手流程，包括后续进入swipe模式 | { user_id :<int> type:<int> } | type 1：swipe游戏里面 2：swipe视频列表 |  |  |  |  | hab_app_events
0523版本 | 以下为新增埋点，原有埋点也有部分修改，可查找 0523 关键字 |  |  |  |  |  |  |  | 
67 | create_room_click | 点击创建房间 | { user_id :<int> session_id:<int> } |  |  |  |  |  | hab_app_events
68 | play_now_click 1015修改 | 点击进入官方房间 1015修改 在play页面点击play now按钮 | { user_id :<int> game_id:<int> session_id:<int> 1015新增 type:<int> } | 1015新增 type:<int> 点击battle的source 1: continue 2: editor choice 3: recommended |  |  |  |  | hab_app_events
69 | public_room_click | 点击创建公共房间 | { user_id :<int> session_id:<int> } |  |  |  |  |  | hab_app_events
70 | private_room_click | 点击创建私人房间 | { user_id :<int> session_id:<int> } |  |  |  |  |  | hab_app_events
71 | room_tag_click | 创建房间后点击选择游戏 | { user_id :<int> game_id:<int> session_id:<int> } | game_id: 点击的游戏标签 |  |  |  |  | hab_app_events
72 | silent_click | 点击屏蔽他人声音开关 | { user_id :<int> game_id:<int> session_id:<int> type:<int> status:<int> } | type 房间类型 0 官方房间 1 公共房间 2 私人房间 status: 1：要屏蔽他人声音 2：不要屏蔽他人声音 |  |  |  |  | hab_app_events
73 | silent_open | 开启屏蔽他人声音开关 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | hab_app_events
74 | hide_gift_push_click | 点击隐藏gift push开关 | { user_id :<int> game_id:<int> session_id:<int> type:<int> status :<int> } | type 房间类型 0 官方房间 1 公共房间 2 私人房间 status: 1：要 隐藏gift push开关 2：不要 隐藏gift push开关 |  |  |  |  | hab_app_events
75 | hide_gift_push_open | 打开隐藏gift push开关 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | hab_app_events
76 | invite_friend_outside | 端外转发邀请 | { user_id :<int> game_id:<int> session_id:<int> type:<int> other_user_id :<int> } | type 房间类型 0 官方房间 1 公共房间 2 私人房间 |  |  |  |  | hab_app_events
77 | exit_click | 点击退出按钮 | { user_id :<int> game_id:<int> session_id:<int> type:<int> } | type 房间类型 0 官方房间 1 公共房间 2 私人房间 0723: 0718-0722的修改去掉，还原 |  |  |  |  | hab_app_events
78 | landscape_prompt | 横屏提示 | { user_id :<int> game_id:<int> status_game:<int> status_user:<int> } | status_game游戏屏幕状态 1 横屏 2 竖屏 status_user 用户屏幕状态 1 横屏 2 竖屏 |  |  | 安卓无埋点数据 |  | hab_app_events
79 | landscape_swipe | 横屏视频左右滑动提示 | { user_id :<int> game_id:<int> status_game:<int> status_user:<int> } | status_game游戏屏幕状态 1 横屏 2 竖屏 status_user 用户屏幕状态 1 横屏 2 竖屏 |  |  | 安卓无埋点数据 |  | hab_app_events
adjust广告 |  |  |  |  |  |  |  |  | 
80 | ad_user | 广告来源用户 | { user_id :< int > adjust_id:<string> trackerToken :<string> trackerName:<string> network:<string> campaign:<string> adgroup:<string> creative:<string> } | adjust_id:广告id trackerToken: 当前归因链接的识别码 trackerName: 当前归因链接的名称 network: 当前归因渠道名称（如 Facebook 、 Google 等） campaign: 推广活动名称 adgroup: 广告组名称（ ad group ） creative: 广告素材名称 |  |  | 安卓埋点已有数据，但由于广告目前暂停，尚未产生由广告带来的新增用户，因此当前表中的用户均为自然流量，campaign、adgroup、creative 字段均为空。 | ios无数据 | hab_ad_events
0604版本 |  |  |  |  |  |  |  |  | 
81 | click_the_bell | 点击🔔 0822 描述修改 在play page 点击🔔 进入 activity 页面 | { user_id :<int> } |  |  |  |  |  | hab_app_events
82 | permission_popup | 允许通知权限弹窗 | { user_id :<int> status:<int> 1030新增 type:<int> } | status： 1: Allow 2: Don't allow 1030新增 3: 展示 1030新增 type: <int> 1:在play页面弹出 2:在转盘页面弹出 1219新增 3：预约pk比赛后弹出 |  |  |  |  | hab_app_events
83 | noti_tips | 通知开启tips | { user_id :<int> status:<int> type:<int> } | type: 1: click status： 1: Allow 2: Don't allow |  |  |  |  | hab_app_events
84 | send_noti | 发送noti用户的点击情况 0822 描述修改 发送noti在play page 的小铃铛🔔 用户的点击情况 | { user_id :<int> status:<int> type:<int> } | type: 1: New user get 50coins 2: friend request 3: friend invite to play game 4: earn lucky wheel reward 5 daily login gift 0813 6: room invite 7: guest signup noti 8: become friend 9: finish lucky wheel (提示已经完成lucky wheel任务) 0822定义修改 10: 没spin或没领卡： Your $100 is waiting. Go now 11: 用户中奖后未完成任务 ("New User Gift! Only XXh Left - Complete Tasks To Get $100) 12: 任务已完成： Congrats! You've completed a task: XXXX 10: 获得spin：Congratulations！You have unlocked 1 spin worth $100. 11. 没领卡： New User Gift: Your $100 is waiting — grab your gift card now! 12. : 用户中奖后未完成任务 ("New User Gift! Only XXh Left - Complete Tasks To Get $100) 13. : 任务已完成： Congrats! You've completed a task: XXXX 14. : New user task has expired! You lost $100 reward. status： 1: 左边按钮 Dismiss 2: 右边按钮 |  | 很多任务状态拿不到 service 埋比较方便 |  |  | 
85 | reward50coins_popup | 注册送50coins的popup | { user_id :<int> status:<int> } | status： 1: 关闭 2: More rewards 0813 2: Get more rewards |  |  |  |  | 
86 | lucky_wheel_page gamification | lucky_wheel界面 H5 | { user_id :<int> status:<int> type:<int> } | status: lucky wheel页面来源 1: New user get 50coins 2: explore的活动页面 3: 从任务页面进入 tips:客户端需要在对应的url后面拼接上来源( report_source )，约定如下 https://xxxxxx?report_source=xxx 1,new user get to coins=> report_source =new_user_get_50 2,explore=> report_source =explore 3,从任务页面进入=> report_source =notifications_page type: 1: 点击“Spin”按钮 2: 点击“Rules”按钮 3: 点击“Gift Shop”按钮 4: 点击右上角菜单 5: 点击“更多任务” |  |  |  |  | 
87 | daily_login_task_page gamification | 登录任务页面 H5 | { user_id :<int> number:<int> type:<int> } | number: 用户点击某一日卡片（1~7） type: 1: click_receive_button 2: click_close_button |  |  |  |  | 
88 | task_page gamification | 任务页面 H5 | { user_id :<int> banner_name:<string> content :<string> } | banner_name 展示任务名称 content 点击任务名称 |  |  |  |  | 
0606 | 以下为新增埋点，原有埋点也有部分修改，可查找 0606 关键字 |  |  |  |  |  |  |  | 
89 | swipe_screen_click | 用户在swipe页面点击 | { user_id :<int> game_id:<int> type:<int> } | type: 1:用户在swipe页面点击屏幕（点击非按钮） 2:用户在swipe页面点击like 3:用户在swipe页面点击favorite 4:用户在swipe页面点击share 0619： 新版后没有了play按钮，点击屏幕直接进入游戏 type： 1：用户在swipe页面点击屏幕进入游戏（定义修改） |  |  |  |  | 
0619 | 以下为新增埋点，原有埋点也有部分修改，可查找 0619 关键字 |  |  |  |  |  |  |  | hab_app_events
90 | new_user_intro_view | 介绍平台页面 | { user_id :<int> type:<int> } | type: 1:进入这个页面 2：点击“start play” |  |  |  |  | 
91 | new_user_select_game_category | 游戏兴趣便签选择页面 | { user_id :<int> type:<int> content: string } | type: 1：进入这个页面，content可以不传 2：选中某个游戏类型兴趣 对应的 content = “game category” 3：用户点击next，包含所有选中游戏类型标签， 对应的content = [game_category1, …, game_categoryN] 4：用户点击skip ，content可以不传 |  |  |  |  | 
92 | teach_swipe_view | swipe教程页面 | { user_id :<int> } |  |  |  |  |  | 
93 | swipe_prompt | 视频往上滑动提示 | { user_id :<int> } |  |  |  |  |  | 
94 | play_prompt | 视频点击play提示 | { user_id :<int> } |  |  |  |  |  | 
95 | swipe_back_prompt | 视频返回提示 | { user_id :<int> } |  |  |  |  |  | 
96 | discover | 用户在home页面点击 Discover 进入swipe页面 | { user_id :<int> } |  |  |  |  |  | 
0624 |  |  |  |  |  |  |  |  | 
